term, tf
two's-complement, 2
ness, 2
rapp, 2
tax, 2
hearn, 2
sin, 2
syslo, 2
distances, 2
ill-condition, 2
compass, 2
pseudo-lexicographic, 2
prudent, 2
freely, 2
pending, 2
adversely, 2
articles, 2
progressive, 2
assembly-time, 2
trap, 2
marcus, 2
relates, 2
list-structured, 2
integrates, 2
mckenney, 2
mathews, 2
montanelli, 2
corrector, 2
proposing, 2
digitizing, 2
rolls, 2
parallels, 2
patients, 2
phytoplankton, 2
hopgood, 2
alerted, 2
rearranged, 2
rearranges, 2
gerard, 2
harmful, 2
petrov, 2
unsophisticated, 2
r429, 2
serving, 2
6000, 2
thousands, 2
arithmetic*, 2
flexo-writer, 2
time-formulas, 2
penetrate, 2
ii*, 2
ascertain, 2
signed, 2
cold, 2
closet, 2
counterexample, 2
exam, 2
neurophysiological, 2
swift, 2
self-organizing, 2
walk, 2
hinds, 2
scalars, 2
yohe, 2
competitive, 2
abandoned, 2
s-shaped, 2
self-judgment, 2
unity, 2
inch, 2
marovich, 2
healy, 2
diego, 2
laborious, 2
joining, 2
elliot, 2
book, 2
richard, 2
exceed, 2
metcalfe, 2
severance, 2
man-week, 2
ensures, 2
rare, 2
strassen, 2
bochmann, 2
outset, 2
laplacian, 2
aircraft, 2
contradictory, 2
safety, 2
user-controlled, 2
interchanges, 2
meaningless, 2
highlighted, 2
calibration, 2
backwards, 2
go-to-less, 2
gan, 2
equations*, 2
strategical, 2
imposing, 1
multiplexor, 1
1,777, 1
ca631109, 1
ca631106, 1
ca631105, 1
ca631104, 1
ca631103, 1
ca631102, 1
ca631101, 1
goldfinger, 1
saylor, 1
granting, 1
duplex-computer, 1
q-1, 1
ca610415, 1
dell, 1
synthesizers, 1
eshed, 1
reconstructions, 1
minimal-total-processing, 1
writing*, 1
bringing, 1
kernel-like, 1
scholar, 1
reformatted, 1
phase-distorted, 1
sturgis, 1
viable, 1
reformatter, 1
claudson, 1
125-word, 1
bacon, 1
maloney, 1
brownlee, 1
outchannel, 1
fingers, 1
$s15, 1
pseudo-teletype, 1
600,000, 1
specialist, 1
dahl, 1
flip, 1
wasington, 1
interrupting, 1
remex, 1
1966-67, 1
kutta-nystrom, 1
deferring, 1
controversy, 1
r406, 1
r405, 1
r402, 1
karim, 1
r400, 1
subareas, 1
9n, 1
replacd, 1
stern, 1
kaner, 1
ca620704, 1
elettrotecnica, 1
tapesort, 1
abbreviations, 1
problem-i, 1
occupying, 1
coordinators, 1
hoffmann, 1
populations, 1
word-at-a-time, 1
simper, 1
quartic, 1
coding-is, 1
basser, 1
intention, 1
grimes, 1
misfortunes, 1
wand, 1
want, 1
15,1978, 1
ercoli, 1
well-constructed, 1
ca680911, 1
ca720604, 1
pdp-5, 1
terconnection, 1
ca720608, 1
ca640518, 1
ca640519, 1
ca640510, 1
ca640511, 1
ca640512, 1
ca640513, 1
ca640514, 1
headquarters, 1
ca640516, 1
ca640517, 1
ca641108, 1
ca641109, 1
timers, 1
avint, 1
ca641101, 1
ca641102, 1
ca641103, 1
ca641104, 1
ca641105, 1
ca641106, 1
ca641107, 1
gianni, 1
welcomed, 1
machine-written, 1
ca740501, 1
ca740502, 1
ca740503, 1
ca620109, 1
ca620108, 1
matures, 1
directional, 1
ca620101, 1
heretofore, 1
ca620103, 1
ca620102, 1
ca620105, 1
ca620104, 1
ca620107, 1
ca620106, 1
convexity, 1
ca680909, 1
ca680908, 1
nygaard, 1
ca680903, 1
ca680902, 1
ca680901, 1
ca680907, 1
ca680905, 1
ca680904, 1
educating, 1
ca731008, 1
ca620906, 1
130,000, 1
vibrational, 1
dumps, 1
disconnection, 1
arrow, 1
klinger, 1
ca600304, 1
clasen, 1
osic, 1
rr, 1
semiconductor, 1
k-list, 1
univac's, 1
two-by-two, 1
logic-in-memory, 1
abbott, 1
quotient-difference, 1
boussard, 1
midpoint, 1
managerial, 1
assures, 1
ca620819, 1
ca620818, 1
right-balanced, 1
ca620813, 1
ca620812, 1
ca620811, 1
ca620810, 1
ca620817, 1
ca620816, 1
ca620815, 1
ca620814, 1
i=1..n}, 1
ca600408, 1
n-derivable, 1
musicians, 1
provinsights, 1
near-optimality, 1
ca580103, 1
instruct, 1
problem-that, 1
hauptman, 1
ca791205, 1
ca791201, 1
ca791202, 1
underlie, 1
.214, 1
genesis, 1
fortran-coded, 1
osborne, 1
rewards, 1
ca750302, 1
percentages, 1
biconnected, 1
benett, 1
feeling, 1
millen, 1
entail, 1
boston, 1
universities-iv, 1
ca730402, 1
ca730403, 1
cl-1, 1
ca730406, 1
ca730407, 1
ca730405, 1
used-most, 1
ca730408, 1
testsshow, 1
ca750606, 1
affairs, 1
ca750605, 1
ca750602, 1
ca750601, 1
ca620804, 1
ca750608, 1
ca750609, 1
pittsburgh, 1
absorbed, 1
brains, 1
january1969, 1
$3,000, 1
eliza-a, 1
$s17, 1
ca590102, 1
ca590101, 1
ca630116, 1
a436, 1
a434, 1
card-to-braille, 1
a432, 1
a433, 1
sitton, 1
a438, 1
constraint-type, 1
singer, 1
cams, 1
severely, 1
ca671208a, 1
ca671208b, 1
prim, 1
infrequency, 1
prin, 1
litton, 1
soluble, 1
gauge, 1
cheaply, 1
bucket-sort, 1
schmid, 1
bush, 1
telegrams, 1
integral$1, 1
shortest-path, 1
radix-less-one, 1
altogether, 1
randal, 1
unconstraining, 1
ca590202, 1
ca620728, 1
nicely, 1
institutions-academic, 1
ca590203, 1
greene, 1
input-ouput, 1
ca690608, 1
transistors, 1
atomic, 1
fair, 1
consummation, 1
time-memory-product, 1
stand-point, 1
wetherbe, 1
ca701105, 1
metacompilers, 1
pressures, 1
ca781109, 1
ca781108, 1
non-markovian, 1
ca781102, 1
ca781107, 1
ca781104, 1
embeddings, 1
retracing, 1
1945-55, 1
parente, 1
ca621111, 1
two-precision, 1
accident, 1
sacrificing, 1
edgar, 1
ca691215, 1
ca691214, 1
ca691217, 1
ca691216, 1
ca691211, 1
ca691213, 1
argue, 1
graeffe's, 1
ca630505, 1
charnes, 1
outlining-a, 1
ca611013, 1
simonsen, 1
ca681105, 1
blending, 1
radiative, 1
communicants, 1
r394, 1
r392, 1
r393, 1
r391, 1
ca720306jb, 1
r398, 1
eye-readable, 1
trating, 1
lifo, 1
worker, 1
doubts, 1
berezin, 1
spin, 1
list-types, 1
appears-with, 1
contemplated, 1
placements, 1
cross-referencing, 1
r179, 1
ca580201, 1
computers-aided, 1
manipulators, 1
students's, 1
burkhardt, 1
ca660206a, 1
conditioned, 1
elicit, 1
australia, 1
time-independent, 1
levien, 1
satisfiability, 1
hong, 1
ca740910, 1
harmony, 1
user-written, 1
meagher, 1
indentation, 1
5000-location, 1
vectorization, 1
qualifications, 1
emanating, 1
subcalls, 1
abstractions-procedural, 1
intrusion, 1
dening's, 1
litecky, 1
lucac, 1
maxima, 1
opinions, 1
ca671012a, 1
ca671012b, 1
sability, 1
speed-versus-density, 1
dialogues, 1
gladfelter, 1
dining, 1
23,1978, 1
nondeterminism, 1
rankowitz, 1
saying, 1
clustered, 1
solid-state, 1
cross-correlations, 1
ca670506a, 1
desire, 1
ca700311, 1
ca700310, 1
ca700313, 1
ca700312, 1
ca700314, 1
sebastian, 1
crowe, 1
ca680617, 1
ca680616, 1
ca680614, 1
ca680613, 1
ca680612, 1
ca680611, 1
ca680610, 1
ca760201, 1
nonmember, 1
ca760202, 1
ca760205, 1
ca760204, 1
ca760207, 1
ca760206, 1
purveyor, 1
sociology, 1
attendees, 1
bottom, 1
esso, 1
witty, 1
battiste, 1
gapless, 1
computer-usage, 1
ivan, 1
hadamard, 1
ca650213, 1
sarwate, 1
wonnacott, 1
stokes, 1
kotiah, 1
substructures, 1
ca700707, 1
acos, 1
kerpelman, 1
langmaack, 1
sol, 1
ca680412, 1
beings, 1
programming-oriented, 1
load-time-saver, 1
librarian, 1
ca700806, 1
robustness, 1
halle, 1
joseph, 1
ca690609, 1
ca690604, 1
ca690606, 1
ca690601, 1
ca690603, 1
happy, 1
ca691001, 1
ca691002, 1
ca691003, 1
ca691004, 1
ca691005, 1
ca691008, 1
conclusively, 1
ca620831, 1
ca620830, 1
ca620833, 1
ca620835, 1
ca620834, 1
ca620836, 1
genealogy, 1
inside, 1
equalization, 1
discretized, 1
kohli, 1
self-program, 1
explicated, 1
prover, 1
bouman, 1
dendrarchy, 1
usability, 1
triangles, 1
posting, 1
andries, 1
6180, 1
ca650911, 1
ca650910, 1
superfluous, 1
kutler, 1
content-addressed, 1
usasi, 1
dispersed, 1
euclidian, 1
ca671001, 1
ca600206, 1
variables*, 1
corbato, 1
coastlines, 1
sreenivarsan, 1
ca620832, 1
disorganization, 1
alpha-beta, 1
ca590908jb, 1
corps, 1
car-cdr, 1
laflin, 1
lambda-calculus, 1
track-200, 1
caldwell, 1
clarifications, 1
multistore, 1
groove-a, 1
programmatically, 1
ca630422, 1
orientations, 1
c379, 1
state-symbol, 1
ca600103, 1
ca600101, 1
ca720501, 1
ca720506, 1
ca720504, 1
ca600104, 1
leave, 1
depositors, 1
cooke, 1
team, 1
ca740706, 1
ca740707, 1
ca740705, 1
ca740702, 1
scalar-, 1
adorno, 1
arccosin, 1
hindered, 1
minimal-length, 1
neurophysiology, 1
chopping, 1
incrementally, 1
muchhigher, 1
educate, 1
ca690210, 1
matran, 1
academicians, 1
lukehart, 1
x3.9-1978, 1
korphage, 1
bo, 1
ca681207, 1
ca681206, 1
ca681205, 1
ca681204, 1
ca681203, 1
riskin, 1
ca681209, 1
benson, 1
ca630421, 1
passengers, 1
clampett, 1
heess, 1
accomplishes, 1
checksum, 1
digamma, 1
ipc, 1
love, 1
stockton, 1
goodness-of-fit, 1
bench-marked, 1
traversing, 1
flagging, 1
block-structure, 1
ca660207, 1
undergone, 1
ca660205, 1
ca660202, 1
ca660203, 1
ca660201, 1
6-digit, 1
cyclic-order, 1
predictions, 1
bender, 1
six-part, 1
ca620702, 1
duality, 1
afford, 1
easiest, 1
ca620701, 1
c386, 1
facilitating, 1
ca630420, 1
kendrick, 1
detached, 1
many-many, 1
stolz, 1
re-examination, 1
bensoussan, 1
multi-index, 1
unanticipated, 1
bibliographical, 1
metalanguages, 1
ibramsha, 1
lauesen, 1
coleman, 1
llllll, 1
cavin, 1
halatsis, 1
kuester, 1
smalgol-61, 1
b=16, 1
calculable, 1
cdc-3600, 1
temperate, 1
divide-, 1
runge-kutta-gill, 1
conscious, 1
techniqueshe, 1
st, 1
nmcsa, 1
tomlin, 1
ca650107, 1
omitting, 1
unfavorable, 1
multipath, 1
ca751102, 1
ca751103, 1
avid, 1
ca751106, 1
ca751104, 1
ca751105, 1
system-whether, 1
93%, 1
conveying, 1
ehrich, 1
miyasaki, 1
y''+q, 1
alternating-direction-implicit, 1
parallel-by-bit, 1
reckoning, 1
ca650215, 1
ca770406, 1
teorey, 1
ca640901, 1
nonperiodic, 1
hancock, 1
22-digit, 1
ca770404, 1
ca770405, 1
ca770402, 1
quarter, 1
kral, 1
ca590404, 1
june1964, 1
translatable, 1
june1967, 1
small-, 1
lafata, 1
pdp-6, 1
cobb, 1
pdp-7, 1
numerov's, 1
namelist, 1
overheads, 1
parallel-program, 1
tranemark, 1
whittier, 1
medium-speed, 1
ca730613, 1
ca730612, 1
ca730610, 1
potting, 1
ca730614, 1
motor, 1
routed, 1
beale's, 1
ca750410, 1
henschen, 1
intuition, 1
ona, 1
bouknight, 1
periodical, 1
tannenbaum, 1
affords, 1
occupy, 1
back-substitution, 1
aiding, 1
clients, 1
ragland, 1
inventor, 1
impractical, 1
197812, 1
richstone, 1
hext, 1
ca600903, 1
ca600902, 1
ca600901, 1
ca600907, 1
ca600906, 1
ca600905, 1
ca600904, 1
individualized, 1
ca600909, 1
ca600908, 1
cost-justified, 1
usaai, 1
fragmented, 1
ca721102, 1
ca640515, 1
adams-bashforth, 1
tegration, 1
insensitivity, 1
sdc-arpa, 1
serials, 1
ca630203, 1
fashionable, 1
ca600404, 1
ca780210, 1
aside, 1
destroy, 1
mccamon, 1
teacher's, 1
ca600405, 1
september1966, 1
september1967, 1
compress, 1
two-fold, 1
evaluator, 1
simulation-discussion, 1
demountable, 1
ca600402, 1
breakthroughs, 1
zielke, 1
chiang, 1
allocation-scheduling, 1
30,000, 1
sasser, 1
madison, 1
regulated, 1
ca751205, 1
ritchie, 1
corc-the, 1
functionals, 1
bright, 1
february1978, 1
borgherson, 1
imagined, 1
criminals, 1
errors-to, 1
qr-algorithm, 1
slog, 1
helmholtz, 1
congressional, 1
r404c404, 1
woodbury, 1
rutishausr, 1
ca580805, 1
ca580804, 1
burstall, 1
16th, 1
n*, 1
annexed, 1
spheroidal, 1
homomorphic, 1
kanodia, 1
impressions, 1
diagonally, 1
harvey, 1
representatives, 1
kilometer, 1
system-dependent, 1
sable, 1
i>1, 1
nonswapping, 1
admirably, 1
marvin, 1
aversion, 1
m+log2, 1
vrchovecka, 1
autonomous, 1
tsur, 1
ca770201, 1
ca770202, 1
ca770204, 1
n-levels, 1
moon*, 1
converses, 1
ca790802, 1
concentrates, 1
minima, 1
graphic-type, 1
redziejowski, 1
considerd, 1
multiplier, 1
ohlman, 1
twin, 1
ca650308, 1
ca650309, 1
ca650304, 1
ca650305, 1
ca650306, 1
ca650307, 1
ca650302, 1
ca650303, 1
lem-1, 1
ca630904, 1
ca630905, 1
ca630906, 1
ca630907, 1
west, 1
airliner, 1
airlines, 1
hutton, 1
devote, 1
aegerter, 1
motives, 1
variable-width, 1
thousand, 1
readings, 1
observe, 1
time-lags, 1
consultant, 1
mersereau, 1
intimately, 1
ives, 1
august1974, 1
shepard, 1
prevalence, 1
tens, 1
engaged, 1
bros, 1
apl-plus, 1
everyman's, 1
bavel, 1
ca670404, 1
missiles, 1
ca670407, 1
cartesian, 1
theorized, 1
coexisting, 1
languages-its, 1
cubics, 1
ca730808, 1
arctangent, 1
ca730806, 1
ca730807, 1
ca730804, 1
ca730805, 1
ludwig, 1
mccormack, 1
online-are, 1
ca680906, 1
wired, 1
university-government, 1
ca650205, 1
pacini, 1
ca590502, 1
ca590501, 1
1957-ii, 1
peculiarities, 1
sunnyvale, 1
ca670309, 1
ca670306, 1
genie, 1
ca670304, 1
ca670305, 1
ca670302, 1
ca670301, 1
treesort1, 1
invalid, 1
summed, 1
ca610216, 1
ca610214, 1
ca610215, 1
ca610212, 1
abstracts-additional, 1
ca610210, 1
ca610211, 1
preventing, 1
ca670209, 1
researches, 1
ca690204, 1
ca631005, 1
r352, 1
actors, 1
r357, 1
y-plotter, 1
holmstrom, 1
decomposed, 1
process*, 1
dark, 1
ca670311b, 1
vacuum, 1
postal, 1
vague, 1
malfunctions, 1
franceschini, 1
werner, 1
pipelining, 1
fives, 1
routh-hurwitz, 1
supplementary, 1
ca691112, 1
expansion-the, 1
roek, 1
query-inverted, 1
91%, 1
toth, 1
deallocation, 1
turkey, 1
schaefer, 1
ca580902, 1
ca580901, 1
malfunctioning, 1
intra-cylinder, 1
robots, 1
sampled-data, 1
semi-iterative, 1
ca781111, 1
astronautics-are, 1
warburtin, 1
crosspoint, 1
asp-a, 1
acf, 1
ca651209, 1
favorite, 1
act, 1
berger, 1
ca651205, 1
ca651202, 1
carey, 1
ca721008, 1
jasper, 1
ca721004, 1
ca721006, 1
ca721001, 1
ca721002, 1
ca721003, 1
n$n, 1
violate, 1
hex, 1
aggregated, 1
ca600102jb, 1
symbiosis, 1
thurnau, 1
mixing, 1
witt, 1
assimilator, 1
buford's, 1
warrington, 1
societal, 1
kotok, 1
fuchel, 1
kurtzberg, 1
ca730202, 1
contracting, 1
attenuate, 1
two_fold, 1
multiprogramming-, 1
numbers-digital, 1
agree, 1
rust, 1
laird, 1
linear-time, 1
ca630312a, 1
ca630312b, 1
ca620619, 1
ca620618, 1
ar, 1
ca640413, 1
ca620611, 1
inventorship, 1
ca620613, 1
ca620612, 1
ca620615, 1
ca620614, 1
ca620617, 1
ca620616, 1
ideally, 1
ca660501b, 1
vocational, 1
sexagesimal, 1
ca720711, 1
ca720710, 1
ca720717, 1
ca720716, 1
ca720714, 1
precollege, 1
estell, 1
contents-independent, 1
a2, 1
function-type, 1
slang, 1
a>, 1
tricks, 1
interpretively, 1
mimic, 1
noncommutative, 1
mathematical-equation, 1
minimum-space, 1
externally, 1
drum-merging, 1
parallelizing, 1
tours, 1
restated, 1
suspected, 1
dynamic-recursive, 1
improperly, 1
fixedpoints, 1
ty, 1
cheney, 1
shall, 1
tn, 1
ca660907, 1
ca660901, 1
ca660903, 1
ca660902, 1
ray-chaudhuri's, 1
te, 1
ca660908, 1
i=pi, 1
conjectured, 1
mesztenyi, 1
dial-type, 1
corollary, 1
ca650413, 1
simscript-, 1
ca771104, 1
`, 1
ca771106, 1
linguists, 1
ca601002, 1
ca771101, 1
cable, 1
accompanying, 1
procedurebout, 1
misinformation, 1
ca771108, 1
sand, 1
facsimile, 1
heise, 1
delfausse, 1
abbreviated, 1
ca620601, 1
penalties, 1
ca731203, 1
ca630614, 1
ca700915, 1
ca700914, 1
ca700913, 1
ca700912, 1
ca700911, 1
ca731204, 1
ca680210, 1
dietzel, 1
ca630617, 1
ca630610, 1
nurse, 1
ca630611, 1
ca670904, 1
ca630612, 1
ca670905, 1
distribution-driven, 1
concluding, 1
ca750211, 1
ca670901, 1
b205, 1
ca670902, 1
ca630618, 1
ca670903, 1
codd's, 1
encountering, 1
reclaimed, 1
vii, 1
homilies, 1
reclaimer, 1
ca711007, 1
ca711006, 1
ca711005, 1
ca711004, 1
ca711003, 1
gasner, 1
universally, 1
batching, 1
inferential, 1
c191, 1
nonredundant, 1
greniewski, 1
alphard's, 1
set-covering, 1
normative, 1
kenyon, 1
ca780306, 1
bedford, 1
ca780305, 1
ca780302, 1
ca780303, 1
ca780308, 1
rodriguez, 1
ca600207, 1
ca630926, 1
ca630924, 1
ca630925, 1
ca630922, 1
ca630923, 1
ca630920, 1
ca630921, 1
perusal, 1
ca710608, 1
enlarge, 1
ca630928, 1
burge, 1
lawrie, 1
liniger, 1
spatially-multiplexed, 1
plant, 1
clp-the, 1
conveniences, 1
system-cataloged, 1
ca610902, 1
ca610903, 1
refuse, 1
ca610901, 1
ca610907, 1
ca610904, 1
ca610905, 1
ca610908, 1
write-time, 1
character-oriented, 1
leitch, 1
noncentral, 1
two-policy, 1
ca620516, 1
suboptimizer, 1
replies, 1
underuse, 1
68-80, 1
loveland, 1
stack-pointer, 1
note-worthy, 1
wolpe, 1
ca680510, 1
ca680511, 1
comstock, 1
over-relaxation, 1
ca640601, 1
ca640602, 1
ca640603, 1
character-transmission, 1
ca640605, 1
ca640606, 1
ca640607, 1
ca640608, 1
assemblies, 1
spinning, 1
ca620404, 1
ca620405, 1
ca620406, 1
ca620407, 1
chandra, 1
ca620401, 1
ca620402, 1
ca620403, 1
reference-count-based, 1
ca620408, 1
ca620409, 1
douglas-rachford, 1
england, 1
bends, 1
operator-precedence, 1
lombardi, 1
snedecor, 1
really, 1
inelegant, 1
r332, 1
psychology, 1
conceptualizing, 1
zancanaro, 1
donally, 1
ca780807, 1
weightings, 1
sociological, 1
inquires, 1
ca631020, 1
denoted, 1
lutz, 1
ca610106, 1
integral-valued, 1
paucity, 1
ca610105, 1
ten-meter, 1
ca621219, 1
ruwe, 1
lubkin, 1
elective, 1
expedient, 1
meta-instruction, 1
logistics, 1
reversing, 1
72-bit, 1
preservation, 1
combat, 1
newell-shaw-simon, 1
cavouras, 1
belman, 1
identifier-to-address, 1
jet, 1
nickerson, 1
brain-has, 1
ca791206, 1
saint, 1
babich, 1
implements, 1
ca600702, 1
elaboration, 1
ca791203, 1
working-sets, 1
ca631025, 1
hasselblad, 1
7,1978, 1
abramowich, 1
unrealistic, 1
diffusion, 1
kuhn's, 1
recruitment, 1
14,1978, 1
environment-descriptive, 1
self-stabilization, 1
drayton, 1
ca731014, 1
ca731012, 1
ca731013, 1
ca731010, 1
ca731011, 1
ca790703, 1
ca790702, 1
nikolai, 1
ca790705, 1
defect, 1
ca661103c, 1
incidentally, 1
biquadratic, 1
sessions, 1
ca700115, 1
ca700114, 1
ca700113, 1
accumulative, 1
ca700111, 1
ca700110, 1
murray, 1
hajek, 1
richardson's, 1
kleinrock, 1
effecting, 1
unused, 1
ca600802, 1
humanities-a, 1
ca720610, 1
ca600803, 1
singled, 1
ca660811, 1
omaha, 1
replacement-selection, 1
landsat, 1
ca600805, 1
slysz, 1
bottenbruch, 1
end-user, 1
sullenberger, 1
stockmeyer, 1
sublist, 1
ca600705, 1
ca600704, 1
degraded, 1
ca600707, 1
eleven-sixteenths, 1
ca600706, 1
ca600701, 1
writes, 1
collom, 1
mossbauer, 1
june1965, 1
trdiag, 1
compiler-independent, 1
ca740901, 1
korsvold, 1
bresenham, 1
ca590601, 1
ca750901, 1
remedy, 1
ca750905, 1
case-construction, 1
column-, 1
enemy, 1
single-reel, 1
ca740906, 1
ca650515, 1
ca650514, 1
ca650516, 1
ca650511, 1
ca650510, 1
ca650513, 1
ca650512, 1
ca630711, 1
ca630713, 1
ca630712, 1
ca630715, 1
ca630714, 1
ca630717, 1
ca630716, 1
ca630719, 1
ca630718, 1
combinatorially, 1
approaching, 1
bulky, 1
simulation-models, 1
d3, 1
callahan, 1
sen, 1
permuted, 1
rejecting, 1
verbs, 1
cooperatives, 1
lechner, 1
sparsely, 1
premises, 1
respondents, 1
selectively, 1
jointly, 1
dividend, 1
dellert, 1
opak, 1
dimentions, 1
pdp, 1
multiple-hierarchical, 1
retarded, 1
long-term, 1
pde, 1
to-address, 1
selden, 1
coincidence, 1
pronominal, 1
incompatibilities, 1
agents, 1
ca651005, 1
raw, 1
ca690910, 1
department--automatic, 1
publishing, 1
monthly, 1
7090-3600, 1
18-byte, 1
initiation, 1
kronecker, 1
ca741006, 1
versa, 1
hyperstructures, 1
fire, 1
clerk-coders, 1
wheeler, 1
.5*ln, 1
fund, 1
fritz, 1
ca741005, 1
schecher, 1
ca741003, 1
uncertain, 1
all-chinese-made, 1
longo, 1
irwin, 1
biochemcial, 1
deep-structure, 1
only--complete, 1
reddy, 1
60-bit, 1
oakford, 1
tri-diagonal, 1
owes, 1
vos, 1
meager, 1
vanish, 1
overlayed, 1
decou, 1
fibers, 1
waychoff, 1
bently, 1
flow-charts, 1
rescattering, 1
field-proven, 1
ca750604, 1
multi-rule, 1
ca630309, 1
ca740615, 1
expend, 1
vectorially, 1
eswarran, 1
regulating, 1
ca711211, 1
klema, 1
nilson, 1
clearance, 1
comprise, 1
ca681005, 1
ca681004, 1
ca681007, 1
ca681006, 1
ca681001, 1
ca681003, 1
ca681002, 1
ca681008, 1
gallie, 1
plagued, 1
relaxations, 1
ca621115, 1
ca621114, 1
ca621117, 1
ca621116, 1
relevancy, 1
ca621110, 1
ca621113, 1
ca621112, 1
jodeit, 1
ca621119, 1
ca621118, 1
kriebel, 1
complying, 1
herculean, 1
toole, 1
1-bit, 1
outcomes, 1
ca640304, 1
in-so-far, 1
m44, 1
ca700708, 1
report-language, 1
ca700702, 1
ca700703, 1
ca700701, 1
ca700706, 1
ca700704, 1
ca700705, 1
multidigit, 1
bicubic, 1
b=, 1
neufeld, 1
processing*, 1
ca630210, 1
interleave, 1
linkages, 1
ca670203b, 1
adjoints, 1
bb, 1
bc, 1
bi, 1
low-degree, 1
ca660710, 1
clancy, 1
digitizer, 1
bx, 1
ca630212, 1
mnemonics, 1
ca660713, 1
ca640620, 1
quasi-random, 1
foulk, 1
ca640307, 1
4-digit, 1
storage-efficient, 1
qn+n-1, 1
unsorted, 1
koster's, 1
system-an, 1
a430, 1
helical, 1
ca590402, 1
ca590403, 1
ca590401, 1
ca770403, 1
ca590405, 1
computer-made, 1
ca770408, 1
ca770409, 1
predictor-correctors, 1
spending, 1
many-to-one, 1
ca650708, 1
ca650709, 1
function-producing, 1
suit, 1
ca650701, 1
ca650702, 1
ca650703, 1
ca650705, 1
opens, 1
dirichlet-type, 1
ca610334, 1
ca720808, 1
half-toned, 1
deductions, 1
unrestrictive, 1
television-like, 1
ca720802, 1
low-linked, 1
spectroscopy, 1
twelve-key, 1
multiple-processes, 1
hurst, 1
cardiac-output, 1
clock-driven, 1
likewise, 1
sap-like, 1
rolling, 1
labor-in, 1
lightpen-controlled, 1
neilsen, 1
coder, 1
occasional, 1
conceptions, 1
retract, 1
dbtg, 1
ca650907jb, 1
multiple-lags, 1
analysis-which, 1
masterson, 1
over-determined, 1
ca630113, 1
suppression, 1
mealy, 1
ca730205, 1
ca730207, 1
ca730201, 1
ca730203, 1
age, 1
ca730209, 1
dow, 1
broyden, 1
ax+xb=c, 1
peek-a-boo, 1
oracle, 1
code*, 1
haberman, 1
extensibility, 1
essay, 1
effigy, 1
knotted, 1
clemm, 1
pennsylvania's, 1
seemed, 1
ca641210, 1
ca641211, 1
ca641213, 1
ca641214, 1
ca641215, 1
ca641216, 1
ca641217, 1
ca641218, 1
ca641219, 1
ca670908, 1
ca670909, 1
send, 1
subregions, 1
newhall, 1
computer-sharing, 1
core-storage, 1
statics, 1
manipulates, 1
continues, 1
farbman, 1
rittenhouse, 1
13,1978, 1
redefinition, 1
hemerle, 1
timely, 1
experiencing, 1
ca650615, 1
eve, 1
try, 1
ca780804, 1
ca780806, 1
ca780801, 1
unprofitable, 1
feature-by-feature, 1
greenberger, 1
leakage, 1
multimedia, 1
indian, 1
twins, 1
sims, 1
funtion, 1
metaoperators, 1
10,1978, 1
eminently, 1
identifications, 1
program-defined, 1
lew, 1
ca690203, 1
ca600213, 1
ca600212, 1
ca600211, 1
ca600210, 1
ca741002, 1
ca600214, 1
triphase, 1
ca741008, 1
ca741009, 1
ca730518, 1
formulae*, 1
burleson, 1
opinion, 1
residents, 1
ca640501, 1
althm, 1
parentheses, 1
two-pass, 1
crosby, 1
t-quantiles, 1
desiring, 1
single-channel, 1
engineer-programmer, 1
mendoza, 1
handwriting, 1
ca750310, 1
duplicate, 1
doubt, 1
paramedical, 1
ca720809, 1
dalrymple, 1
ca720807, 1
ca720806, 1
ca720805, 1
ca720804, 1
ca720803, 1
dietmeyer, 1
ca720801, 1
wired-in, 1
tool*, 1
nelliac, 1
bmdp, 1
ca641112, 1
ca700304, 1
configuring, 1
mid-1970s, 1
practicing, 1
demarcation, 1
warnsdorff's, 1
challenge, 1
ca670408a, 1
two-part, 1
list-moving, 1
fulfill, 1
wedge, 1
wadey, 1
ca600504, 1
loci, 1
duley, 1
slit, 1
ca600605, 1
ca641015, 1
ca680609, 1
z22, 1
busy, 1
destroying, 1
negation, 1
ca640811, 1
ca640810, 1
ca640813, 1
crandall, 1
ca640815, 1
ca640814, 1
ca640817, 1
ca640816, 1
ca640819, 1
ca640818, 1
boulenger, 1
npl, 1
marron, 1
shuttlesort, 1
await, 1
hematology, 1
-george, 1
non-heuristic, 1
ties, 1
ca680603, 1
rulifson, 1
ca720110, 1
clarkson, 1
manpower, 1
robot, 1
counted, 1
100-fold, 1
peavy, 1
decay, 1
low-precision, 1
ca600602, 1
caffery, 1
imperfection, 1
ca640812, 1
weide, 1
ca750903, 1
animal, 1
ca600603, 1
rosser, 1
eisman, 1
innermost, 1
newman, 1
gustavson, 1
analysis*, 1
no-backup, 1
left-right, 1
iying, 1
systemtems, 1
4n+3, 1
truth, 1
traces, 1
tracer, 1
weyl, 1
beginner, 1
ca630301, 1
gary, 1
thirteen, 1
jagged, 1
witness, 1
valve, 1
overstrikes, 1
superbly, 1
communication-an, 1
tanimoto, 1
semidirect, 1
ural-2, 1
thrust, 1
ca580505, 1
pattern-learning, 1
explicating, 1
david, 1
ca600609, 1
incorporatedn, 1
ca611117, 1
leasing, 1
three-way, 1
ca651013, 1
ca651012, 1
ca651011, 1
ca651010, 1
two-, 1
ca670108, 1
los, 1
ca670104, 1
ca670105, 1
ca670106, 1
behaves, 1
